,trans,tx_brate,tx_pkts,dl_buffer,trans_cls,trans1,from,to,from_to,count,slice,agent,count_norm,tx_brate_norm,tx_pkts_norm,dl_buffer_norm
0,"(30, 9, 11, 2, 2, 0, 36, 9, 5, 1, 1, 2)",0.0,-15.83,-17.91,distinct," 30, 9, 11, 2, 2, 0, 36, 9, 5, 1, 1, 2","[' 30', ' 9', ' 11', ' 2', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 1', ' 1', ' 2']","[' 30', ' 9', ' 11', ' 2', ' 2', ' 0', ' 36', ' 9', ' 5', ' 1', ' 1', ' 2']",1,sl0,embb-trf2,0.09999999999999998,2.1,0.5694923148579413,0.9770802148454698
1,"(30, 9, 11, 1, 1, 0, 30, 9, 11, 1, 0, 2)",0.0,41.63,113.57,same-prbs," 30, 9, 11, 1, 1, 0, 30, 9, 11, 1, 0, 2","[' 30', ' 9', ' 11', ' 1', ' 1', ' 0']","[' 30', ' 9', ' 11', ' 1', ' 0', ' 2']","[' 30', ' 9', ' 11', ' 1', ' 1', ' 0', ' 30', ' 9', ' 11', ' 1', ' 0', ' 2']",1,sl0,embb-trf2,0.09999999999999998,2.1,1.46158981524608,2.134780311702034
2,"(36, 9, 5, 2, 1, 2, 30, 9, 11, 2, 2, 0)",0.01,0.67,47.63,distinct," 36, 9, 5, 2, 1, 2, 30, 9, 11, 2, 2, 0","[' 36', ' 9', ' 5', ' 2', ' 1', ' 2']","[' 30', ' 9', ' 11', ' 2', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 2', ' 1', ' 2', ' 30', ' 9', ' 11', ' 2', ' 2', ' 0']",1,sl0,embb-trf2,0.09999999999999998,2.6,0.8256637168141593,1.5541692348331426
3,"(30, 9, 11, 2, 2, 0, 36, 9, 5, 2, 2, 0)",-0.01,-15.93,69.79,same-pol," 30, 9, 11, 2, 2, 0, 36, 9, 5, 2, 2, 0","[' 30', ' 9', ' 11', ' 2', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 2', ' 2', ' 0']","[' 30', ' 9', ' 11', ' 2', ' 2', ' 0', ' 36', ' 9', ' 5', ' 2', ' 2', ' 0']",1,sl0,embb-trf2,0.09999999999999998,1.6,0.5679397609066916,1.7492911860526548
4,"(24, 15, 11, 1, 2, 2, 36, 9, 5, 0, 2, 2)",-0.04,64.41,21.64,distinct," 24, 15, 11, 1, 2, 2, 36, 9, 5, 0, 2, 2","[' 24', ' 15', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 9', ' 5', ' 0', ' 2', ' 2']","[' 24', ' 15', ' 11', ' 1', ' 2', ' 2', ' 36', ' 9', ' 5', ' 0', ' 2', ' 2']",1,sl0,embb-trf2,0.09999999999999998,0.10000000000000009,1.8152616053407855,1.325323588975962
5,"(30, 9, 11, 1, 1, 0, 30, 9, 11, 2, 2, 0)",0.0,11.06,17.84,same-prbs," 30, 9, 11, 1, 1, 0, 30, 9, 11, 2, 2, 0","[' 30', ' 9', ' 11', ' 1', ' 1', ' 0']","[' 30', ' 9', ' 11', ' 2', ' 2', ' 0']","[' 30', ' 9', ' 11', ' 1', ' 1', ' 0', ' 30', ' 9', ' 11', ' 2', ' 2', ' 0']",1,sl0,embb-trf2,0.09999999999999998,2.1,0.9869740723490141,1.2918640486043849
6,"(30, 15, 5, 2, 2, 0, 36, 9, 5, 2, 2, 2)",-0.01,-18.65,-117.52,distinct," 30, 15, 5, 2, 2, 0, 36, 9, 5, 2, 2, 2","[' 30', ' 15', ' 5', ' 2', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 2', ' 2', ' 2']","[' 30', ' 15', ' 5', ' 2', ' 2', ' 0', ' 36', ' 9', ' 5', ' 2', ' 2', ' 2']",1,sl0,embb-trf2,0.09999999999999998,1.6,0.5257102934326969,0.1
7,"(36, 9, 5, 0, 0, 0, 36, 9, 5, 2, 1, 2)",-0.01,7.09,-102.77,same-prbs," 36, 9, 5, 0, 0, 0, 36, 9, 5, 2, 1, 2","[' 36', ' 9', ' 5', ' 0', ' 0', ' 0']","[' 36', ' 9', ' 5', ' 2', ' 1', ' 2']","[' 36', ' 9', ' 5', ' 0', ' 0', ' 0', ' 36', ' 9', ' 5', ' 2', ' 1', ' 2']",1,sl0,embb-trf2,0.09999999999999998,1.6,0.9253376804843969,0.22987584749493706
8,"(30, 9, 11, 2, 2, 2, 36, 9, 5, 2, 2, 0)",-0.01,-46.07,13.32,distinct," 30, 9, 11, 2, 2, 2, 36, 9, 5, 2, 2, 0","[' 30', ' 9', ' 11', ' 2', ' 2', ' 2']","[' 36', ' 9', ' 5', ' 2', ' 2', ' 0']","[' 30', ' 9', ' 11', ' 2', ' 2', ' 2', ' 36', ' 9', ' 5', ' 2', ' 2', ' 0']",1,sl0,embb-trf2,0.09999999999999998,1.6,0.10000000000000005,1.2520648058466146
9,"(36, 9, 5, 2, 2, 0, 36, 9, 5, 1, 1, 1)",0.01,-3.51,-40.34,same-prbs," 36, 9, 5, 2, 2, 0, 36, 9, 5, 1, 1, 1","[' 36', ' 9', ' 5', ' 2', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 1', ' 1', ' 1']","[' 36', ' 9', ' 5', ' 2', ' 2', ' 0', ' 36', ' 9', ' 5', ' 1', ' 1', ' 1']",1,sl0,embb-trf2,0.09999999999999998,2.6,0.7607669616519174,0.779580875231135
